"wildcard","name","slug_name","description",cover_image_id
"kvvm","Khac Viet-Vi MJ","khac-viet-vi-mj","NULL",0
"lhp","Luka Huy Pham","luka-huy-pham","NULL",0
"bh","Bao Hung","bao-hung","NULL",0
"cd","Chi Dan","chi-dan","NULL",0
"a","AXN","axn","NULL",0
"amt","AXN & May Trang","axn-may-trang","NULL",0
"jt","J8687-Tim","j8687-tim","NULL",0
"dt","Dinh Tri","dinh-tri","NULL",0
"dk","Duy Khoa","duy-khoa","NULL",0
"ctahav","Cao Tung Anh-Hoang Anh Vu","cao-tung-anh-hoang-anh-vu","NULL",0
"ncs","Nhieu Ca Si","nhieu-ca-si","NULL",0
"th","Thanh Hung","thanh-hung","NULL",0
"hqh","Ho Quang Hieu","ho-quang-hieu","NULL",0
"pbtm","Phi Bang-Trieu Minh","phi-bang-trieu-minh","NULL",0
"k","Karik","karik","NULL",0
"vql","Van Quang Long","van-quang-long","NULL",0
"bcptt","Bang Cuong-Pham Thanh Thao","bang-cuong-pham-thanh-thao","NULL",0
"pt","Phuong Thanh","phuong-thanh","NULL",0
"tgv","Tong Gia Vy","tong-gia-vy","NULL",0
"tdh","Truong Dan Huy","truong-dan-huy","NULL",0
"ntr","Ngoc Thuong Ruby","ngoc-thuong-ruby","NULL",0
"tq","Tammy Quynh","tammy-quynh","NULL",0
"pn","Phuong Nghi","phuong-nghi","NULL",0
"dmk","Daniel Mastro & Karik","daniel-mastro-karik","NULL",0
"tka","Thieu Ky Anh","thieu-ky-anh","NULL",0
"bata","Brother A Tuan Anh","brother-a-tuan-anh","NULL",0
"bt","Bao Thy","bao-thy","NULL",0
"mtvt","Minh Tri & Viet Thy","minh-tri-viet-thy","NULL",0
"mb","Manh Bin","manh-bin","NULL",0
"kh","Kim Huyen","kim-huyen","NULL",0
"ltb","Lam Thai Bao","lam-thai-bao","NULL",0
"kt","Khanh Trung","khanh-trung","NULL",0
"ntta","Nukan Tran Tung Anh","nukan-tran-tung-anh","NULL",0
"dhn","Duong Hieu Nghia","duong-hieu-nghia","NULL",0
"pt","Pham Truong","pham-truong","NULL",0
"dm","Duy Manh","duy-manh","NULL",0
"lhn","Ly Hao Nam","ly-hao-nam","NULL",0
"pka","Pham Ky Anh","pham-ky-anh","NULL",0
"lbh","Luong Bich Huu","luong-bich-huu","NULL",0
"tn","Truong Ngon","truong-ngon","NULL",0
"ba","Bao Anh","bao-anh","NULL",0
"cgkhd","Chau Gia Kiet-Hoang Dung","chau-gia-kiet-hoang-dung","NULL",0
"dhtk","Don Ho & Thien Kim","don-ho-thien-kim","NULL",0
"qdtt","Quang Dung-Thanh Thao","quang-dung-thanh-thao","NULL",0
"dp","Đức Phúc","duc-phuc","NULL",0
"hvt","Ho Viet Trung","ho-viet-trung","NULL",0
"mta","Mai Tuan Anh","mai-tuan-anh","NULL",0
"ndv","Nguyen Dinh Vu","nguyen-dinh-vu","NULL",0
"kjslck","Kim Jun See-Lam Chan Khang","kim-jun-see-lam-chan-khang","NULL",0
"gl","Gia Linh","gia-linh","NULL",0
"vtk","Vinh Thien Kim","vinh-thien-kim","NULL",0
"ts","Thao Suong","thao-suong","NULL",0
"dtth","Dang Thuat-Thu Huyen","dang-thuat-thu-huyen","NULL",0
"la","Lan Anh","lan-anh","NULL",0
"cm","Chanh Manh","chanh-manh","NULL",0
"pdt","Phan Dinh Tung","phan-dinh-tung","NULL",0
"qh","Quang Hung","quang-hung","NULL",0
"ut","Uyen Trang","uyen-trang","NULL",0
"n","Nipe","nipe","NULL",0
"ldl","Ly Dieu Linh","ly-dieu-linh","NULL",0
"pta","Pham The Anh","pham-the-anh","NULL",0
"nlpt","Ngoc Le & Phuong Thao","ngoc-le-phuong-thao","NULL",0
"hh","Hoang Hai","hoang-hai","NULL",0
"cts","Cao Thai Son","cao-thai-son","NULL",0
"stm","Son Tung MTP","son-tung-mtp","NULL",0
"tm","Thu Minh","thu-minh","NULL",0
"evlk","Eddy Viet-Lil Knight","eddy-viet-lil-knight","NULL",0
"ttd","Thuy Trieu Do","thuy-trieu-do","NULL",0
"lxd","Lm Xuan Duong","lm-xuan-duong","NULL",0
"mt","My Tam","my-tam","NULL",0
"vtk","Vinh Thuyen Kim","vinh-thuyen-kim","NULL",0
"dvtl","Dinh Van & Tai Linh","dinh-van-tai-linh","NULL",0
"hlvhl","Hoai Linh va Huong Lan","hoai-linh-va-huong-lan","NULL",0
"ckp","Chau Kiet Phuong","chau-kiet-phuong","NULL",0
"ct","Cao Trung","cao-trung","NULL",0
"dmut","Duy Manh-Uyen Trang","duy-manh-uyen-trang","NULL",0
"tk","Tuan Khang","tuan-khang","NULL",0
"mtnt","Minh Thao-Nhat Trung","minh-thao-nhat-trung","NULL",0
"nv","Nguyen Vu","nguyen-vu","NULL",0
"hna","Hoang Nhat Anh","hoang-nhat-anh","NULL",0
"pnh","Phung Ngoc Huy","phung-ngoc-huy","NULL",0
"nc","Nam Cuong","nam-cuong","NULL",0
"tl","Thanh Lu","thanh-lu","NULL",0
"lvl","Ly Van Long","ly-van-long","NULL",0
"bn","Bao Ngoc","bao-ngoc","NULL",0
"bk","Bang Kieu","bang-kieu","NULL",0
"w","Weboys","weboys","NULL",0
"dka","Dinh Khai Anh","dinh-khai-anh","NULL",0
"dt","Du Thien","du-thien","NULL",0
"ttv","Truong The Vinh","truong-the-vinh","NULL",0
"o","Oplus","oplus","NULL",0
"kc","Ken Chou","ken-chou","NULL",0
"n","Neu","neu","NULL",0
"hnbka","Hoai Nam Bozo-Khac Anh","hoai-nam-bozo-khac-anh","NULL",0
"z","Zenky","zenky","NULL",0
"lgh","Luong Gia Huy","luong-gia-huy","NULL",0
"lalts","Luu Anh Loan-Truong Son","luu-anh-loan-truong-son","NULL",0
"tvnq","Truong vu Nhu Quynh","truong-vu-nhu-quynh","NULL",0
"nqtv","Nhu Quynh-Truong Vu","nhu-quynh-truong-vu","NULL",0
"lbqtt","Luong Bang Quang-Thu Thuy","luong-bang-quang-thu-thuy","NULL",0
"vm","Vi MJ","vi-mj","NULL",0
"mt","Minh Thuan","minh-thuan","NULL",0
"dk","Dang Khoi","dang-khoi","NULL",0
"mh","Manh Hung","manh-hung","NULL",0
"dk","Duy Khiem","duy-khiem","NULL",0
"mt","Mong Thi","mong-thi","NULL",0
"tc","Thai Chau","thai-chau","NULL",0
"xm","Xuan Mai","xuan-mai","NULL",0
"nta","Nhat Tinh Anh","nhat-tinh-anh","NULL",0
"dki","Dang Khoa Idol","dang-khoa-idol","NULL",0
"vct","Vu Cat Tuong","vu-cat-tuong","NULL",0
"ltq","Luong Tung Quang","luong-tung-quang","NULL",0
"dxs","Do Xuan Son","do-xuan-son","NULL",0
"at","Andy Thanh","andy-thanh","NULL",0
"hdm","Hong Duong M4U","hong-duong-m4u","NULL",0
"lpl","La Phong Lam","la-phong-lam","NULL",0
"vt","Vinh Tinh","vinh-tinh","NULL",0
"ghh","Giap Hoang Hieu","giap-hoang-hieu","NULL",0
"ts","Truong Son","truong-son","NULL",0
"th","Trọng Hiếu","trong-hieu","NULL",0
"tt","Thai Tai","thai-tai","NULL",0
"f","f","f","NULL",0
"hts","Huynh Tan Sang","huynh-tan-sang","NULL",0
"qd","Quoc Dai","quoc-dai","NULL",0
"kl","Khang Le","khang-le","NULL",0
"jtt","Jacqueline Thuy Tram","jacqueline-thuy-tram","NULL",0
"ltvyp","Lam Thuy Van & Y Phung","lam-thuy-van-y-phung","NULL",0
"tt","Thuy Tram","thuy-tram","NULL",0
"akphq","Anh Khoa & Phuong Hong Que","anh-khoa-phuong-hong-que","NULL",0
"ka","Kim Anh","kim-anh","NULL",0
"nmtp","Ngoc Minh & Thanh Phong","ngoc-minh-thanh-phong","NULL",0
"nmtv","Nhu Mai & Tuan Vu","nhu-mai-tuan-vu","NULL",0
"yp","Y Phung","y-phung","NULL",0
"hhd","Hoang Hai Dang","hoang-hai-dang","NULL",0
"dn","Dinh Ngoc","dinh-ngoc","NULL",0
"dk","Duong Khang","duong-khang","NULL",0
"nhn","Nguyen Hoang Nam","nguyen-hoang-nam","NULL",0
"v","Vboys","vboys","NULL",0
"dt","Duc Tuan","duc-tuan","NULL",0
"tpk","Tran Phi Khanh","tran-phi-khanh","NULL",0
"ptt","Pham Thanh Thao","pham-thanh-thao","NULL",0
"ltu","Lam Thai Uyen","lam-thai-uyen","NULL",0
"tn","Thuan Nguyen","thuan-nguyen","NULL",0
"qt","Quoc Thien","quoc-thien","NULL",0
"ho","Ha Okio","ha-okio","NULL",0
"hatmts","Hoang Anh Thu-Mai Thanh Son","hoang-anh-thu-mai-thanh-son","NULL",0
